"","alpha","Method","coverage","width","simul_id","width_base","diff_coverage","ratio_width"
"1",0.02,"training data quantile",0.96835,3.13887190751921,1,3.32319444543124,-0.0116499999999999,0.944534531175136
"2",0.03,"training data quantile",0.95485,2.92409301322368,1,3.11595489362727,-0.01515,0.93842597632078
"3",0.04,"training data quantile",0.9471,2.80566325730561,1,2.93815458716279,-0.0128999999999999,0.954906617086775
"4",0.05,"training data quantile",0.9355,2.65268358771625,1,2.72524921267483,-0.0145,0.973372848023924
"5",0.06,"training data quantile",0.92675,2.5928055412088,1,2.58360761290858,-0.01325,1.00356011038761
"6",0.07,"training data quantile",0.91395,2.50697342751322,1,2.5234968318793,-0.0160499999999999,0.993452179468847
"7",0.08,"training data quantile",0.90595,2.45408563838941,1,2.47079187040594,-0.01405,0.993238511014776
"8",0.09,"training data quantile",0.8933,2.38084004200129,1,2.42354315145718,-0.0167,0.982379884826803
"9",0.1,"training data quantile",0.88635,2.33618922574674,1,2.37636416341634,-0.0136500000000001,0.983093947346925
"10",0.11,"training data quantile",0.8752,2.27399993933234,1,2.32614419946136,-0.0148,0.977583393092701
"11",0.12,"training data quantile",0.8646,2.2037248009779,1,2.27717990089819,-0.0154,0.967742952635707
"12",0.13,"training data quantile",0.8548,2.15097452324314,1,2.22869977956179,-0.0152,0.965125290973946
"13",0.14,"training data quantile",0.84675,2.10384698132612,1,2.1812292974643,-0.01325,0.964523529814981
"14",0.15,"training data quantile",0.83975,2.0637714130679,1,2.13373897601065,-0.01025,0.967208939926869
"15",0.16,"training data quantile",0.8257,1.99486182896311,1,2.08591488400252,-0.0143,0.956348623935848
"16",0.17,"training data quantile",0.81745,1.95186668858248,1,2.03249461111007,-0.0125500000000001,0.9603305602451
"17",0.18,"training data quantile",0.80595,1.89091809734826,1,1.97229862287256,-0.0140500000000001,0.95873823335851
"18",0.19,"training data quantile",0.79825,1.85946407588088,1,1.89731303674059,-0.0117499999999999,0.980051282984525
"19",0.2,"training data quantile",0.7857,1.81730277593184,1,1.80115518018489,-0.0143,1.00896513300164
"20",0.21,"training data quantile",0.77915,1.78912055692373,1,1.73411239084782,-0.01085,1.03172122312615
"21",0.22,"training data quantile",0.76855,1.748581375783,1,1.70075141231597,-0.01145,1.0281228421277
"22",0.23,"training data quantile",0.75725,1.71266087766047,1,1.67423061689947,-0.01275,1.02295398278653
"23",0.24,"training data quantile",0.7508,1.69059073242251,1,1.65071179542492,-0.00919999999999999,1.02415863090584
"24",0.25,"training data quantile",0.74025,1.65343170460057,1,1.62821664989671,-0.00974999999999993,1.01548630196446
"25",0.26,"training data quantile",0.7323,1.63122421628755,1,1.60693476503163,-0.00770000000000004,1.01511539347115
"26",0.27,"training data quantile",0.72425,1.61234285299861,1,1.5861833595933,-0.00574999999999992,1.01649209925643
"27",0.28,"training data quantile",0.7133,1.58200498699946,1,1.56601346120277,-0.00669999999999993,1.01021161451857
"28",0.29,"training data quantile",0.70525,1.56316299629414,1,1.54636124187441,-0.00475000000000003,1.01086534890086
"29",0.3,"training data quantile",0.6964,1.54309027067837,1,1.527272549376,-0.00359999999999994,1.0103568425353
"30",0.31,"training data quantile",0.68485,1.51721936342214,1,1.50897305766475,-0.00514999999999999,1.00546484625123
"31",0.32,"training data quantile",0.6711,1.49330475044566,1,1.49120420745438,-0.00889999999999991,1.00140862195853
"32",0.33,"training data quantile",0.6624,1.47704952681968,1,1.47307498882528,-0.00760000000000005,1.00269812333015
"33",0.34,"training data quantile",0.65255,1.45959420351939,1,1.45543852922421,-0.00744999999999996,1.0028552729722
"34",0.35,"training data quantile",0.6402,1.4363754968481,1,1.43797721241865,-0.00980000000000003,0.998886132856124
"35",0.36,"training data quantile",0.63075,1.42128731989999,1,1.42101590788556,-0.00924999999999998,1.00019099857569
"36",0.37,"training data quantile",0.61775,1.39863450125194,1,1.40356147287013,-0.0122499999999999,0.996489664533103
"37",0.38,"training data quantile",0.6094,1.38032697311147,1,1.38634796014859,-0.0106000000000001,0.995656943848013
"38",0.39,"training data quantile",0.5979,1.35669343403949,1,1.3684476876473,-0.0121,0.991410520318811
"39",0.4,"training data quantile",0.58595,1.33355943499465,1,1.34869639616764,-0.01405,0.988776598487252
"40",0.41,"training data quantile",0.57685,1.31511226507662,1,1.32825577478805,-0.01315,0.990104684684299
"41",0.42,"training data quantile",0.56585,1.28914777752683,1,1.30787898495591,-0.01415,0.985678179981066
"42",0.43,"training data quantile",0.55885,1.27260440005785,1,1.28751834605312,-0.0111499999999999,0.988416517682263
"43",0.44,"training data quantile",0.54855,1.24206304280199,1,1.26682688890588,-0.01145,0.980452067823343
"44",0.45,"training data quantile",0.53985,1.21981223905183,1,1.24582362120737,-0.0101500000000001,0.979121135839172
"45",0.46,"training data quantile",0.53225,1.20080671425887,1,1.2250646799691,-0.00774999999999992,0.98019862452418
"46",0.47,"training data quantile",0.52,1.17254057786742,1,1.20413835544474,-0.01,0.973759014124543
"47",0.48,"training data quantile",0.5115,1.1551371500601,1,1.18287031538754,-0.00849999999999995,0.976554348378966
"48",0.49,"training data quantile",0.50405,1.1359893049189,1,1.16148123898358,-0.0059499999999999,0.978052220553309
"49",0.5,"training data quantile",0.4927,1.11007294297369,1,1.13993152738757,-0.00729999999999997,0.973806686018845
"50",0.02,"split dcp",0.97255,3.23241977638081,1,3.32319444543124,-0.00744999999999996,0.972684514691811
"51",0.03,"split dcp",0.9635,3.06298716162345,1,3.11595489362727,-0.00649999999999995,0.983001123632389
"52",0.04,"split dcp",0.95485,2.92409301322368,1,2.93815458716279,-0.00514999999999999,0.995214147682854
"53",0.05,"split dcp",0.9471,2.80566325730561,1,2.72524921267483,-0.0028999999999999,1.02950704260615
"54",0.06,"split dcp",0.9392,2.68898013230459,1,2.58360761290858,-0.000799999999999912,1.04078503208829
"55",0.07,"split dcp",0.92675,2.5928055412088,1,2.5234968318793,-0.00324999999999998,1.02746534430078
"56",0.08,"split dcp",0.91865,2.53120934493734,1,2.47079187040594,-0.00135000000000007,1.02445267659128
